time,theoretical_pressure_psi,theoretical_counts,noisy_counts,filtered_counts
0.0,8.332766318978413e-12,1638.000000109226,1833.3278736393631,1085.848739351047
0.004008016032064128,1.0177655590310194e-11,1638.0000001334088,1638.0,1319.848739351047
0.008016032064128256,1.242102592955506e-11,1638.0000001628148,1892.6970408855311,1553.848739351047
0.012024048096192383,1.5146711620705768e-11,1638.0000001985431,2236.916260932435,1876.564403340822
0.01603206412825651,1.8455695491405807e-11,1638.0000002419172,1638.0,1891.7727118677146
0.02004008016032064,2.2469512263846162e-11,1638.0000002945303,1638.0,1891.7727118677146
0.024048096192384766,2.7334305595206115e-11,1638.0000003582982,2259.009647928425,1885.8668934814507
0.028056112224448895,3.322565995329822e-11,1638.000000435522,1939.7860333276117,1800.30742763396
0.03206412825651302,4.03543500552965e-11,1638.0000005289648,1638.0,1800.30742763396
0.03607214428857715,4.897317585829847e-11,1638.0000006419405,1851.356312181685,1813.900176892884
0.04008016032064128,5.938508062619125e-11,1638.0000007784197,1638.0,1725.1845129031092
0.044088176352705406,7.195278409520626e-11,1638.0000009431571,1638.0,1682.072222427736
0.04809619238476953,8.711020301204436e-11,1638.0000011418406,1733.1492448124677,1682.072222427736
0.052104208416833664,1.0537597823371177e-10,1638.0000013812682,1638.0,1651.592749258924
0.05611222444889779,1.273694822026058e-10,1638.0000016695592,1638.0,1669.246266973767
0.06012024048096192,1.5382974414335408e-10,1638.0000020164002,1638.0,1669.246266973767
0.06412825651302605,1.8563780414349184e-10,1638.0000024333403,1638.0,1655.653517714843
0.06813627254509018,2.238430929510321e-10,1638.0000029341352,1761.5746240039007,1737.9894787162875
0.0721442885771543,2.696945336455315e-10,1638.0000035351559,1638.0,1737.9894787162875
0.07615230460921843,3.246771763671137e-10,1638.0000042558684,1638.0,1741.7830213736163
0.08016032064128256,3.905553103591187e-10,1638.000005119399,2214.351727010111,1741.7830213736163
0.08416833667334668,4.694231513573248e-10,1638.0000061531987,1638.0,1724.1295036587735
0.08817635270541081,5.637643798704874e-10,1638.0000073898234,1664.5547986013028,1730.3608196468676
0.09218436873747494,6.765220105813911e-10,1638.0000088678505,1638.0,1730.3608196468676
0.09619238476953906,8.111803088548988e-10,1638.0000106329514,1638.0,1669.1305024991423
0.1002004008016032,9.718607415856146e-10,1638.0000127391506,1681.6192119166583,1669.1305024991423
0.10420841683366733,1.163434261348663e-09,1638.0000152502962,1638.0,1665.3369598418133
0.10821643286573146,1.3916525806744245e-09,1638.000018241782,1785.7395069760341,1665.336959841813
0.11222444889779558,1.6633015036164017e-09,1638.0000218025561,1638.0,1769.392661316348
0.11623246492985971,1.9863798517883693e-09,1638.000026037467,1638.0,1763.1613453282544
0.12024048096192384,2.3703080597758046e-09,1638.0000310699982,1638.0,1763.1613453282544
0.12424849699398796,2.8261711293322326e-09,1638.000037045451,2366.389910321746,1788.263933435569
0.1282565130260521,3.367001333211205e-09,1638.0000441346535,1638.0,1788.263933435569
0.13226452905811623,4.008106859231664e-09,1638.0000525382648,1638.0,1799.9973060498705
0.13627254509018036,4.7674534959489975e-09,1638.0000624917805,1961.4576237272386,1799.9973060498708
0.1402805611222445,5.6661074973067856e-09,1638.000074271337,1638.0,1695.9416045753355
0.1442885771543086,6.7287489407094395e-09,1638.000088200441,1720.133608300111,1707.0007273462236
0.14829659318637273,7.98426622870533e-09,1638.0001046577618,1638.0,1748.4856947647843
0.15230460921843686,9.466443898492109e-09,1638.0001240861466,1638.0,1711.9044726200852
0.156312625250501,1.1214757617486436e-08,1638.000147003043,1715.413859396217,1711.9044726200855
0.16032064128256512,1.327529218131054e-08,1638.00017401253,1928.3947719299251,1700.171100005784
0.16432865731462926,1.5701800519370722e-08,1638.0002058192013,1705.3890687143453,1700.171100005784
0.16833667334669336,1.8556924182137466e-08,1638.0002432441622,1638.0,1700.171100005784
0.1723446893787575,2.191359856568179e-08,1638.00028724345,1638.0,1689.1119772348957
0.17635270541082163,2.5856669258640754e-08,1638.0003389292206,1638.0,1707.0131952940628
0.18036072144288576,3.0484749413719526e-08,1638.0003995940954,1638.0,1716.689772320967
0.1843687374749499,3.591235199303551e-08,1638.00047073911,1638.0,1716.689772320967
0.18837675350701402,4.2272335161016404e-08,1638.0005541057692,2053.703298344096,1734.896012248344
0.19238476953907813,4.971870405150189e-08,1638.0006517127727,1773.1251079026745,1734.896012248344
0.19639278557114226,5.842981767305568e-08,1638.00076589805,1638.0,1734.896012248344
0.2004008016032064,6.861205589910911e-08,1638.0008993668287,1765.443679491638,1769.258445543781
0.20440881763527052,8.05040083834199e-08,1638.001055246542,1638.0,1767.7911098608347
0.20841683366733466,9.43812549179482e-08,1638.0012371494895,1638.0,1800.8044627327254
0.2124248496993988,1.1056181528690493e-07,1638.0014492442747,1878.5370330680576,1800.8044627327254
0.21643286573146292,1.294123561507098e-07,1638.0016963371645,2043.4319485634721,1782.5982228053485
0.22044088176352702,1.5135525300650687e-07,1638.0019839646563,2004.2185780059103,1801.2081071552625
0.22444889779559116,1.7687661691393265e-07,1638.0023184986944,1638.0,1856.0119711843954
0.2284569138276553,2.0653540854880012e-07,1638.0027072661353,1638.0,1821.6495378889585
0.23246492985971942,2.409737763632041e-07,1638.0031586842606,1768.2691904493981,1763.730688094177
0.23647294589178355,2.809287713049918e-07,1638.0036824143342,2021.6270482039308,1711.4137483790469
0.24048096192384769,3.272456078067262e-07,1638.0042895354272,1638.0,1711.4137483790469
0.2444889779559118,3.808926597252291e-07,1638.0049927409837,1638.0,1757.0602468474804
0.24849699398797592,4.4297840073593143e-07,1638.0058065608769,1638.0,1814.641350908472
0.25250501002004005,5.147705215066844e-07,1638.006747611996,1638.0,1759.8374868793392
0.2565130260521042,5.977174809456019e-07,1638.0078348807403,1957.5254892790347,1816.2148416121952
0.2605210420841683,6.934727760950414e-07,1638.009090041149,2171.3369188763395,1836.532538504738
0.26452905811623245,8.039222449938024e-07,1638.0105378127873,1638.0,1836.532538504738
0.2685370741482966,9.312147492212253e-07,1638.0122063629328,2032.6414831299924,1856.8374081981844
0.2725450901803607,1.0777966180451696e-06,1638.0141277580694,1780.223878247801,1897.5965238195492
0.27655310621242485,1.2464502742982222e-06,1638.0163384701955,1638.0,1821.4055354086436
0.280561122244489,1.440337503484435e-06,1638.0188799439957,1780.1340878541243,1909.3068872721124
0.28456913827655306,1.6630478723535713e-06,1638.0217992315108,2242.8392986285885,1852.9295325392563
0.2885771543086172,1.918652851454246e-06,1638.0251497015768,1638.0,1878.7894606113464
0.2925851703406813,2.2117662481698205e-06,1638.028991831981,2253.309463044281,1883.685830323121
0.29659318637274545,2.547611612629341e-06,1638.0333940930184,1638.0,1863.3809606296747
0.3006012024048096,2.9320973388376005e-06,1638.0384339319176,1961.2433747524306,1782.138535066085
0.3046092184368737,3.3719002475465095e-06,1638.044198868445,1672.2745879824233,1782.138535066085
0.30861723446893785,3.874558505941608e-06,1638.050787712896,1638.0,1694.2371832026163
0.312625250501002,4.448574812278434e-06,1638.0583119186394,1674.1423196834603,1714.3112947969048
0.3166332665330661,5.103530851287545e-06,1638.0668970823988,1638.0,1751.171895083686
0.32064128256513025,5.850214108569644e-06,1638.076684606535,1638.0,1746.2755253719113
0.3246492985971944,6.700758219387334e-06,1638.0878335387397,1778.518781160019,1746.2755253719115
0.3286573146292585,7.668798119266113e-06,1638.1005226057473,2219.267576759901,1741.1123368457029
0.33266533066132264,8.769641360640165e-06,1638.1149524589553,1638.0,1792.561451800057
0.3366733466933867,1.0020457061379088e-05,1638.1313481511606,1638.0,1811.0576078587862
0.34068136272545085,1.1440484057317474e-05,1638.1499618650232,1638.0,1790.9834962644977
0.344689378757515,1.305125994173875e-05,1638.1710759153164,1998.14380468048,1736.815278468451
0.3486973947895791,1.4876872789937343e-05,1638.1950060485306,1767.4730924111047,1742.3098793154543
0.35270541082164325,1.694423748622311e-05,1638.2221050649694,1638.0,1796.772242368658
0.3567134268537074,1.9283398693708414e-05,1638.2527667900772,1840.0900521875733,1796.7722423686582
0.3607214428857715,2.192786263349501e-05,1638.2874304233999,1676.4622059290232,1745.3231274143038
0.36472945891783565,2.491495996895885e-05,1638.3265852952732,2019.2365413724265,1726.8269713555746
0.3687374749498998,2.8286242222095795e-05,1638.3707760630473,1638.0,1726.8269713555746
0.3727454909819639,3.208791428164618e-05,1638.4206083804038,1638.0,1714.6794492506883
0.37675350701402804,3.637130569612801e-05,1638.4767550750648,1638.0,1723.9488966692284
0.3807615230460922,4.1193383578053784e-05,1638.539962871941,1638.0,1669.8853196363657
0.38476953907815625,4.661731007740834e-05,1638.6110597004947,1755.0573974533686,1669.8853196363657
0.3887775551102204,5.271304751174683e-05,1638.690962626784,1741.3483378588037,1669.8853196363655
0.3927855711422845,5.955801436568051e-05,1638.7806864523054,1640.7915021423867,1669.8853196363655
0.39679358717434865,6.723779549259663e-05,1638.881353023317,1638.0,1669.8853196363655
0.4008016032064128,7.584690996455777e-05,1638.9942012958154,1638.0,1653.1628342858844
0.4048096192384769,8.548964012068325e-05,1639.120598202702,1638.0,1638.398786020341
0.40881763527054105,9.628092545796876e-05,1639.2620503709031,1638.0,1660.954732954328
0.4128256513026052,0.0001083473250893754,1639.4202167372716,1638.0,1767.2030059155798
0.4168336673346693,0.00012182805255980955,1639.596922112954,1638.0,1777.3330488960305
0.42084168336673344,0.00013687608685895812,1639.7941717465471,1798.6831306802962,1792.1632483971566
0.4248496993987976,0.0001536593634981826,1640.0141669367342,2381.737910728763,1792.1632483971566
0.4288577154308617,0.0001723620495241388,1640.2593217451624,1708.9103008631548,1792.1632483971566
0.43286573146292584,0.0001931859063215336,1640.5322808600627,1741.8113965078826,1792.1632483971564
0.4368737474949899,0.0002163517440084862,1640.8359386604632,1638.0,1773.1583949845096
0.44088176352705405,0.00024210097114708213,1641.173459529796,1638.0,1805.9202200257298
0.4448897795591182,0.00027069724337575523,1641.5482994661695,1638.0,1795.7901770452793
0.4488977955911823,0.0003024282144155662,1641.9642290345591,1665.6491567917685,1798.685974352813
0.45290581162324645,0.00033760739270597995,1642.42535770359,2611.070686017304,1798.685974352813
